NN,1960,,
LO,1960,69.92365854,148.56843
SI,1960,68.97804878,136.6224
BP,1960,49.38170732,83.37262
SO,1960,36.96587805,53.49722
SF,1960,52.2262439,91.2125
OD,1960,31.72270732,40.6104
SP,1960,69.10926829,146.58308
CE,1960,59.73226829,117.22739999999999
SC,1960,,
ST,1960,57.3037561,107.84241
RN,1960,,
VC,1960,57.72080488,120.05538999999999
SU,1960,48.18763415,83.53368
NS,1960,59.68012195,112.22798
WZ,1960,44.23878049,68.81783
SW,1960,73.00560976,160.22438
SZ,1960,71.31341463,151.82236999999998
SY,1960,51.99685366,94.12842
TI,1960,56.15353659,112.66582
TZ,1960,43.65387805,70.92272
TH,1960,54.69931707,99.54992
TT,1960,33.73712195,42.0722
TO,1960,40.27282927,62.689809999999994
TN,1960,61.36502439,110.75462999999999
TD,1960,62.65758537,118.96347
TS,1960,42.0097561,64.84717
TU,1960,45.38441463,82.62822
TX,1960,54.45868293,99.42469
TK,1960,,
TV,1960,,
UG,1960,43.98356098,72.32544
UP,1960,68.29953659,142.5491
AE,1960,52.28870732,97.7508
UK,1960,71.12682927,148.58705
US,1960,69.77073171,142.27284
UY,1960,67.89639024,139.2434
UZ,1960,58.69404878,113.53884
NH,1960,46.4874878,75.48516000000001
VE,1960,59.28512195,110.02958000000001
VM,1960,59.06702439,117.35236
VQ,1960,66.22485366,135.13044000000002
GZ,1960,,84.03247999999999
YM,1960,34.36380488,49.10946
ZA,1960,45.10980488,75.1181
ZI,1960,51.54197561,92.8336
AF,1961,32.78697561,39.81872
AL,1961,63.27346341,136.39769
AG,1961,46.59031707,82.5294
AQ,1961,,
AN,1961,,
AO,1961,33.5477561,45.046260000000004
AC,1961,62.19541463,117.48943
AR,1961,65.3385122,131.2462
AM,1961,66.28439024,135.76877000000002
AA,1961,65.98802439,134.43678
AS,1961,70.97317073,147.77805
AU,1961,69.57731707,144.88732
AJ,1961,60.99639024,128.3404
BF,1961,63.0725122,122.91364999999999
BA,1961,53.46056098,101.6198
BG,1961,46.45792683,83.82267999999999
BB,1961,61.21509756,118.66810000000001
BO,1961,68.21265854,141.78727
BE,1961,70.52097561,147.20594999999997
